components/FUT/components/ui/resizable.tsx(5,37): error TS2307: Cannot find module 'react-resizable-panels' or its corresponding type declarations.
components/FUT/components/ui/skeleton.tsx(3,44): error TS2503: Cannot find namespace 'React'.
components/FUT/components/ui/slider.tsx(4,34): error TS2307: Cannot find module '@radix-ui/react-slider' or its corresponding type declarations.
components/FUT/components/ui/sonner.tsx(3,26): error TS2307: Cannot find module 'next-themes' or its corresponding type declarations.
components/FUT/components/ui/sonner.tsx(4,49): error TS2307: Cannot find module 'sonner' or its corresponding type declarations.
components/FUT/components/ui/sonner.tsx(18,14): error TS2503: Cannot find namespace 'React'.
components/FUT/components/ui/spinner.tsx(5,43): error TS2503: Cannot find namespace 'React'.
components/FUT/components/ui/switch.tsx(4,34): error TS2307: Cannot find module '@radix-ui/react-switch' or its corresponding type declarations.
components/FUT/components/ui/tabs.tsx(4,32): error TS2307: Cannot find module '@radix-ui/react-tabs' or its corresponding type declarations.
components/FUT/components/ui/toast.tsx(4,34): error TS2307: Cannot find module '@radix-ui/react-toast' or its corresponding type declarations.
components/FUT/components/ui/toggle-group.tsx(4,39): error TS2307: Cannot find module '@radix-ui/react-toggle-group' or its corresponding type declarations.
components/FUT/components/ui/toggle.tsx(4,34): error TS2307: Cannot find module '@radix-ui/react-toggle' or its corresponding type declarations.
components/FUT/components/ui/tooltip.tsx(4,35): error TS2307: Cannot find module '@radix-ui/react-tooltip' or its corresponding type declarations.
components/FUT/components/upcoming-matches.tsx(161,79): error TS2339: Property 'length' does not exist on type 'unknown'.
components/FUT/components/upcoming-matches.tsx(165,30): error TS2339: Property 'map' does not exist on type 'unknown'.
